task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.873333333333333
Classification,kgrc_qt900,1.0,NB,,0.87
Classification,kgrc_qt900,1.0,NB,,0.864444444444445
Classification,kgrc_qt900,1.0,NB,,0.861111111111111
Classification,kgrc_qt900,1.0,NB,,0.873333333333333
Classification,kgrc_qt900,1.0,NB,,0.87
Classification,kgrc_qt900,1.0,NB,,0.868888888888889
Classification,kgrc_qt900,1.0,NB,,0.872222222222222
Classification,kgrc_qt900,1.0,NB,,0.874444444444444
Classification,kgrc_qt900,1.0,NB,,0.871111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.882222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.892222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.893333333333333
Classification,kgrc_qt900,1.0,KNN,K=3,0.893333333333333
Classification,kgrc_qt900,1.0,KNN,K=3,0.882222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.892222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.887777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.895555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.882222222222222
Classification,kgrc_qt900,1.0,C45,,0.665555555555556
Classification,kgrc_qt900,1.0,C45,,0.671111111111111
Classification,kgrc_qt900,1.0,C45,,0.68
Classification,kgrc_qt900,1.0,C45,,0.696666666666667
Classification,kgrc_qt900,1.0,C45,,0.71
Classification,kgrc_qt900,1.0,C45,,0.684444444444444
Classification,kgrc_qt900,1.0,C45,,0.66
Classification,kgrc_qt900,1.0,C45,,0.643333333333333
Classification,kgrc_qt900,1.0,C45,,0.706666666666667
Classification,kgrc_qt900,1.0,C45,,0.692222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.765555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.765555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.893333333333333
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.982222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.982222222222222
Classification,kgrc_qt900,1.0,SVM,C=1000,0.982222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.89
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.984444444444444
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=100,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=1000,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.746666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.746666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.886666666666667
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.755555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.755555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.89
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=100,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=1000,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.762222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.762222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.89
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.977777777777778
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.761111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.761111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.887777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.982222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.982222222222222
Classification,kgrc_qt900,1.0,SVM,C=1000,0.982222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.76
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.76
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.883333333333333
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.763333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.763333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.888888888888889
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.763333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.763333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.888888888888889
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=100,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=1000,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.752222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.752222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.891111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.977777777777778
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.984444444444444
Classification,kgrc_qt900,1.0,SVM,C=1000,0.984444444444444
